Year,League,Series,Date,Winner Team,Winner,Loser Team,Loser,Favorite,Underdog
1988,NBA,Western Conf Semifinals,May 10 - May 19 1988,Dallas Mavericks (3),4,Denver Nuggets (2),2,DEN (-170),DAL (+150)
1988,NBA,Western Conf Semifinals,May 8 - May 21 1988,Los Angeles Lakers (1),4,Utah Jazz (5),3,,
1988,NBA,Eastern Conf Finals,May 25 - Jun 3 1988,Detroit Pistons (2),4,Boston Celtics (1),2,BOS (-250),DET (+200)
1988,NBA,Western Conf Finals,May 23 - Jun 4 1988,Los Angeles Lakers (1),4,Dallas Mavericks (3),3,LAL (-450),DAL (+300)
1988,NBA,Finals,Jun 7 - Jun 21 1988,Los Angeles Lakers (1),4,Detroit Pistons (2),3,LAL (-260),DET (+210)
1987,NBA,Eastern Conf First Round,Apr 24 - May 1 1987,Atlanta Hawks (2),3,Indiana Pacers (7),1,,
1987,NBA,Eastern Conf First Round,Apr 23 - Apr 28 1987,Boston Celtics (1),3,Chicago Bulls (8),0,,
1987,NBA,Eastern Conf First Round,Apr 24 - Apr 29 1987,Detroit Pistons (3),3,Washington Bullets (6),0,,
1987,NBA,Eastern Conf First Round,Apr 24 - May 3 1987,Milwaukee Bucks (4),3,Philadelphia 76ers (5),2,,
1987,NBA,Western Conf First Round,Apr 23 - May 3 1987,Golden State Warriors (5),3,Utah Jazz (4),2,,
1987,NBA,Western Conf First Round,Apr 24 - Apr 30 1987,Houston Rockets (6),3,Portland Trail Blazers (3),1,,
1987,NBA,Western Conf First Round,Apr 23 - Apr 29 1987,Los Angeles Lakers (1),3,Denver Nuggets (8),0,,
1987,NBA,Western Conf First Round,Apr 23 - Apr 30 1987,Seattle SuperSonics (7),3,Dallas Mavericks (2),1,,
1987,NBA,Eastern Conf Semifinals,May 5 - May 17 1987,Boston Celtics (1),4,Milwaukee Bucks (4),3,,
1987,NBA,Eastern Conf Semifinals,May 3 - May 13 1987,Detroit Pistons (3),4,Atlanta Hawks (2),1,,
1987,NBA,Western Conf Semifinals,May 5 - May 12 1987,Los Angeles Lakers (1),4,Golden State Warriors (5),1,,
1987,NBA,Western Conf Semifinals,May 2 - May 14 1987,Seattle SuperSonics (7),4,Houston Rockets (6),2,,
1987,NBA,Eastern Conf Finals,May 19 - May 30 1987,Boston Celtics (1),4,Detroit Pistons (3),3,,
1987,NBA,Western Conf Finals,May 16 - May 25 1987,Los Angeles Lakers (1),4,Seattle SuperSonics (7),0,,
1987,NBA,Finals,Jun 2 - Jun 14 1987,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 25 1986,Atlanta Hawks (4),3,Detroit Pistons (5),1,,
1986,NBA,Eastern Conf First Round,Apr 17 - Apr 22 1986,Boston Celtics (1),3,Chicago Bulls (8),0,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 22 1986,Milwaukee Bucks (2),3,New Jersey Nets (7),0,,
1986,NBA,Eastern Conf First Round,Apr 18 - Apr 27 1986,Philadelphia 76ers (3),3,Washington Bullets (6),2,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 25 1986,Dallas Mavericks (4),3,Utah Jazz (5),1,,
1986,NBA,Western Conf First Round,Apr 18 - Apr 24 1986,Denver Nuggets (3),3,Portland Trail Blazers (6),1,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 22 1986,Houston Rockets (2),3,Sacramento Kings (7),0,,
1986,NBA,Western Conf First Round,Apr 17 - Apr 23 1986,Los Angeles Lakers (1),3,San Antonio Spurs (8),0,,
1986,NBA,Eastern Conf Semifinals,Apr 27 - May 6 1986,Boston Celtics (1),4,Atlanta Hawks (4),1,,
1986,NBA,Eastern Conf Semifinals,Apr 29 - May 11 1986,Milwaukee Bucks (2),4,Philadelphia 76ers (3),3,,
1986,NBA,Western Conf Semifinals,Apr 26 - May 8 1986,Houston Rockets (2),4,Denver Nuggets (3),2,,
1986,NBA,Western Conf Semifinals,Apr 27 - May 8 1986,Los Angeles Lakers (1),4,Dallas Mavericks (4),2,,
1986,NBA,Eastern Conf Finals,May 13 - May 18 1986,Boston Celtics (1),4,Milwaukee Bucks (2),0,,
1986,NBA,Western Conf Finals,May 10 - May 21 1986,Houston Rockets (2),4,Los Angeles Lakers (1),1,,
1986,NBA,Finals,May 26 - Jun 8 1986,Boston Celtics (1),4,Houston Rockets (2),2,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 25 1985,Boston Celtics (1),3,Cleveland Cavaliers (8),1,,
1985,NBA,Eastern Conf First Round,Apr 18 - Apr 24 1985,Detroit Pistons (4),3,New Jersey Nets (5),0,,
1985,NBA,Eastern Conf First Round,Apr 19 - Apr 26 1985,Milwaukee Bucks (2),3,Chicago Bulls (7),1,,
1985,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1985,Philadelphia 76ers (3),3,Washington Bullets (6),1,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 28 1985,Denver Nuggets (2),3,San Antonio Spurs (7),2,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 23 1985,Los Angeles Lakers (1),3,Phoenix Suns (8),0,,
1985,NBA,Western Conf First Round,Apr 18 - Apr 25 1985,Portland Trail Blazers (5),3,Dallas Mavericks (4),1,,
1985,NBA,Western Conf First Round,Apr 19 - Apr 28 1985,Utah Jazz (6),3,Houston Rockets (3),2,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 10 1985,Boston Celtics (1),4,Detroit Pistons (4),2,,
1985,NBA,Eastern Conf Semifinals,Apr 28 - May 5 1985,Philadelphia 76ers (3),4,Milwaukee Bucks (2),0,,
1985,NBA,Western Conf Semifinals,Apr 30 - May 7 1985,Denver Nuggets (2),4,Utah Jazz (6),1,,
1985,NBA,Western Conf Semifinals,Apr 27 - May 7 1985,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1985,NBA,Eastern Conf Finals,May 12 - May 22 1985,Boston Celtics (1),4,Philadelphia 76ers (3),1,,
1985,NBA,Western Conf Finals,May 11 - May 22 1985,Los Angeles Lakers (1),4,Denver Nuggets (2),1,,
1985,NBA,Finals,May 27 - Jun 9 1985,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 24 1984,Boston Celtics (1),3,Washington Bullets (8),1,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 26 1984,Milwaukee Bucks (2),3,Atlanta Hawks (7),2,,
1984,NBA,Eastern Conf First Round,Apr 18 - Apr 26 1984,New Jersey Nets (6),3,Philadelphia 76ers (3),2,,
1984,NBA,Eastern Conf First Round,Apr 17 - Apr 27 1984,New York Knicks (5),3,Detroit Pistons (4),2,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,Dallas Mavericks (4),3,Seattle SuperSonics (5),2,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 22 1984,Los Angeles Lakers (1),3,Kansas City Kings (8),0,,
1984,NBA,Western Conf First Round,Apr 18 - Apr 26 1984,Phoenix Suns (6),3,Portland Trail Blazers (3),2,,
1984,NBA,Western Conf First Round,Apr 17 - Apr 26 1984,Utah Jazz (2),3,Denver Nuggets (7),2,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 13 1984,Boston Celtics (1),4,New York Knicks (5),3,,
1984,NBA,Eastern Conf Semifinals,Apr 29 - May 10 1984,Milwaukee Bucks (2),4,New Jersey Nets (6),2,,
1984,NBA,Western Conf Semifinals,Apr 28 - May 8 1984,Los Angeles Lakers (1),4,Dallas Mavericks (4),1,,
1984,NBA,Western Conf Semifinals,Apr 29 - May 10 1984,Phoenix Suns (6),4,Utah Jazz (2),2,,
1984,NBA,Eastern Conf Finals,May 15 - May 23 1984,Boston Celtics (1),4,Milwaukee Bucks (2),1,,
1984,NBA,Western Conf Finals,May 12 - May 25 1984,Los Angeles Lakers (1),4,Phoenix Suns (6),2,,
1984,NBA,Finals,May 27 - Jun 12 1984,Boston Celtics (1),4,Los Angeles Lakers (1),3,,
1983,NBA,Eastern Conf First Round,Apr 19 - Apr 24 1983,Boston Celtics (3),2,Atlanta Hawks (6),1,,
1983,NBA,Eastern Conf First Round,Apr 20 - Apr 21 1983,New York Knicks (5),2,New Jersey Nets (4),0,,
1983,NBA,Western Conf First Round,Apr 19 - Apr 24 1983,Denver Nuggets (6),2,Phoenix Suns (3),1,,
1983,NBA,Western Conf First Round,Apr 20 - Apr 22 1983,Portland Trail Blazers (5),2,Seattle SuperSonics (4),0,,
1983,NBA,Eastern Conf Semifinals,Apr 27 - May 2 1983,Milwaukee Bucks (2),4,Boston Celtics (3),0,,
1983,NBA,Eastern Conf Semifinals,Apr 24 - May 1 1983,Philadelphia 76ers (1),4,New York Knicks (5),0,,
1983,NBA,Western Conf Semifinals,Apr 24 - May 3 1983,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1983,NBA,Western Conf Semifinals,Apr 26 - May 4 1983,San Antonio Spurs (2),4,Denver Nuggets (6),1,,
1983,NBA,Eastern Conf Finals,May 8 - May 18 1983,Philadelphia 76ers (1),4,Milwaukee Bucks (2),1,,
1983,NBA,Western Conf Finals,May 8 - May 20 1983,Los Angeles Lakers (1),4,San Antonio Spurs (2),2,,
1983,NBA,Finals,May 22 - May 31 1983,Philadelphia 76ers (1),4,Los Angeles Lakers (1),0,,
1982,NBA,Eastern Conf First Round,Apr 21 - Apr 23 1982,Philadelphia 76ers (3),2,Atlanta Hawks (6),0,,
1982,NBA,Eastern Conf First Round,Apr 20 - Apr 23 1982,Washington Bullets (5),2,New Jersey Nets (4),0,,
1982,NBA,Western Conf First Round,Apr 20 - Apr 24 1982,Phoenix Suns (5),2,Denver Nuggets (4),1,,
1982,NBA,Western Conf First Round,Apr 21 - Apr 25 1982,Seattle SuperSonics (3),2,Houston Rockets (6),1,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 5 1982,Boston Celtics (1),4,Washington Bullets (5),1,,
1982,NBA,Eastern Conf Semifinals,Apr 25 - May 7 1982,Philadelphia 76ers (3),4,Milwaukee Bucks (2),2,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 2 1982,Los Angeles Lakers (1),4,Phoenix Suns (5),0,,
1982,NBA,Western Conf Semifinals,Apr 27 - May 5 1982,San Antonio Spurs (2),4,Seattle SuperSonics (3),1,,
1982,NBA,Eastern Conf Finals,May 9 - May 23 1982,Philadelphia 76ers (3),4,Boston Celtics (1),3,,
1982,NBA,Western Conf Finals,May 9 - May 15 1982,Los Angeles Lakers (1),4,San Antonio Spurs (2),0,,
1982,NBA,Finals,May 27 - Jun 8 1982,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 3 1981,Chicago Bulls (5),2,New York Knicks (4),0,,
1981,NBA,Eastern Conf First Round,Mar 31 - Apr 2 1981,Philadelphia 76ers (3),2,Indiana Pacers (6),0,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,Houston Rockets (6),2,Los Angeles Lakers (3),1,,
1981,NBA,Western Conf First Round,Apr 1 - Apr 5 1981,Kansas City Kings (5),2,Portland Trail Blazers (4),1,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 12 1981,Boston Celtics (1),4,Chicago Bulls (5),0,,
1981,NBA,Eastern Conf Semifinals,Apr 5 - Apr 19 1981,Philadelphia 76ers (3),4,Milwaukee Bucks (2),3,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 17 1981,Houston Rockets (6),4,San Antonio Spurs (2),3,,
1981,NBA,Western Conf Semifinals,Apr 7 - Apr 19 1981,Kansas City Kings (5),4,Phoenix Suns (1),3,,
1981,NBA,Eastern Conf Finals,Apr 21 - May 3 1981,Boston Celtics (1),4,Philadelphia 76ers (3),3,,
1981,NBA,Western Conf Finals,Apr 21 - Apr 29 1981,Houston Rockets (6),4,Kansas City Kings (5),1,,
1981,NBA,Finals,May 5 - May 14 1981,Boston Celtics (1),4,Houston Rockets (6),2,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 6 1980,Houston Rockets (4),2,San Antonio Spurs (5),1,,
1980,NBA,Eastern Conf First Round,Apr 2 - Apr 4 1980,Philadelphia 76ers (3),2,Washington Bullets (6),0,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,Phoenix Suns (4),2,Kansas City Kings (5),1,,
1980,NBA,Western Conf First Round,Apr 2 - Apr 6 1980,Seattle SuperSonics (3),2,Portland Trail Blazers (6),1,,
1980,NBA,Eastern Conf Semifinals,Apr 9 - Apr 14 1980,Boston Celtics (1),4,Houston Rockets (4),0,,
1980,NBA,Eastern Conf Semifinals,Apr 6 - Apr 15 1980,Philadelphia 76ers (3),4,Atlanta Hawks (2),1,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 15 1980,Los Angeles Lakers (1),4,Phoenix Suns (4),1,,
1980,NBA,Western Conf Semifinals,Apr 8 - Apr 20 1980,Seattle SuperSonics (3),4,Milwaukee Bucks (2),3,,
1980,NBA,Eastern Conf Finals,Apr 18 - Apr 27 1980,Philadelphia 76ers (3),4,Boston Celtics (1),1,,
1980,NBA,Western Conf Finals,Apr 22 - Apr 30 1980,Los Angeles Lakers (1),4,Seattle SuperSonics (3),1,,
1980,NBA,Finals,May 4 - May 16 1980,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,Atlanta Hawks (5),2,Houston Rockets (4),0,,
1979,NBA,Eastern Conf First Round,Apr 11 - Apr 13 1979,Philadelphia 76ers (3),2,New Jersey Nets (6),0,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,Los Angeles Lakers (5),2,Denver Nuggets (4),1,,
1979,NBA,Western Conf First Round,Apr 10 - Apr 15 1979,Phoenix Suns (3),2,Portland Trail Blazers (6),1,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - May 2 1979,San Antonio Spurs (2),4,Philadelphia 76ers (3),3,,
1979,NBA,Eastern Conf Semifinals,Apr 15 - Apr 29 1979,Washington Bullets (1),4,Atlanta Hawks (5),3,,
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 27 1979,Phoenix Suns (3),4,Kansas City Kings (2),1,,
1979,NBA,Western Conf Semifinals,Apr 17 - Apr 25 1979,Seattle SuperSonics (1),4,Los Angeles Lakers (5),1,,
1979,NBA,Eastern Conf Finals,May 4 - May 18 1979,Washington Bullets (1),4,San Antonio Spurs (2),3,,
1979,NBA,Western Conf Finals,May 1 - May 17 1979,Seattle SuperSonics (1),4,Phoenix Suns (3),3,,
1979,NBA,Finals,May 20 - Jun 1 1979,Seattle SuperSonics (1),4,Washington Bullets (1),1,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,New York Knicks (5),2,Cleveland Cavaliers (4),0,,
1978,NBA,Eastern Conf First Round,Apr 12 - Apr 14 1978,Washington Bullets (3),2,Atlanta Hawks (6),0,,
1978,NBA,Western Conf First Round,Apr 11 - Apr 14 1978,Milwaukee Bucks (6),2,Phoenix Suns (3),0,,
1978,NBA,Western Conf First Round,Apr 12 - Apr 16 1978,Seattle SuperSonics (4),2,Los Angeles Lakers (5),1,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 23 1978,Philadelphia 76ers (1),4,New York Knicks (5),0,,
1978,NBA,Eastern Conf Semifinals,Apr 16 - Apr 28 1978,Washington Bullets (3),4,San Antonio Spurs (2),2,,
1978,NBA,Western Conf Semifinals,Apr 18 - May 3 1978,Denver Nuggets (2),4,Milwaukee Bucks (6),3,,
1978,NBA,Western Conf Semifinals,Apr 18 - May 1 1978,Seattle SuperSonics (4),4,Portland Trail Blazers (1),2,,
1978,NBA,Eastern Conf Finals,Apr 30 - May 12 1978,Washington Bullets (3),4,Philadelphia 76ers (1),2,,
1978,NBA,Western Conf Finals,May 5 - May 17 1978,Seattle SuperSonics (4),4,Denver Nuggets (2),2,,
1978,NBA,Finals,May 21 - Jun 7 1978,Washington Bullets (3),4,Seattle SuperSonics (4),3,,
1977,NBA,Eastern Conf First Round,Apr 12 - Apr 15 1977,Boston Celtics (4),2,San Antonio Spurs (5),0,,
1977,NBA,Eastern Conf First Round,Apr 13 - Apr 17 1977,Washington Bullets (3),2,Cleveland Cavaliers (6),1,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,Golden State Warriors (4),2,Detroit Pistons (5),1,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,Portland Trail Blazers (3),2,Chicago Bulls (6),1,,
1977,NBA,Eastern Conf Semifinals,Apr 19 - May 1 1977,Houston Rockets (2),4,Washington Bullets (3),2,,
1977,NBA,Eastern Conf Semifinals,Apr 17 - May 1 1977,Philadelphia 76ers (1),4,Boston Celtics (4),3,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 4 1977,Los Angeles Lakers (1),4,Golden State Warriors (4),3,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 2 1977,Portland Trail Blazers (3),4,Denver Nuggets (2),2,,
1977,NBA,Eastern Conf Finals,May 5 - May 17 1977,Philadelphia 76ers (1),4,Houston Rockets (2),2,,
1977,NBA,Western Conf Finals,May 6 - May 13 1977,Portland Trail Blazers (3),4,Los Angeles Lakers (1),0,,
1977,NBA,Finals,May 22 - Jun 5 1977,Portland Trail Blazers (3),4,Philadelphia 76ers (1),2,,
1976,NBA,Eastern Conf First Round,Apr 15 - Apr 18 1976,Buffalo Braves (5),2,Philadelphia 76ers (4),1,,
1976,NBA,Western Conf First Round,Apr 13 - Apr 18 1976,Detroit Pistons (5),2,Milwaukee Bucks (4),1,,
1976,NBA,Eastern Conf Semifinals,Apr 21 - May 2 1976,Boston Celtics (1),4,Buffalo Braves (5),2,,
1976,NBA,Eastern Conf Semifinals,Apr 13 - Apr 29 1976,Cleveland Cavaliers (2),4,Washington Bullets (3),3,,
1976,NBA,Western Conf Semifinals,Apr 20 - Apr 30 1976,Golden State Warriors (1),4,Detroit Pistons (5),2,,
1976,NBA,Western Conf Semifinals,Apr 13 - Apr 27 1976,Phoenix Suns (3),4,Seattle SuperSonics (2),2,,
1976,NBA,Eastern Conf Finals,May 6 - May 18 1976,Boston Celtics (1),4,Cleveland Cavaliers (2),2,,
1976,NBA,Western Conf Finals,May 2 - May 16 1976,Phoenix Suns (3),4,Golden State Warriors (1),3,,
1976,NBA,Finals,May 23 - Jun 6 1976,Boston Celtics (1),4,Phoenix Suns (3),2,,
1976,ABA,First Round,Apr 8 - Apr 12 1976,Kentucky Colonels (4),2,Indiana Pacers (5),1,,
1976,ABA,Semifinals,Apr 15 - Apr 28 1976,Denver Nuggets (1),4,Kentucky Colonels (4),3,,
1976,ABA,Semifinals,Apr 9 - Apr 24 1976,New York Nets (2),4,San Antonio Spurs (3),3,,
1976,ABA,Finals,May 1 - May 13 1976,New York Nets (2),4,Denver Nuggets (1),2,,
1975,NBA,Eastern Conf First Round,Apr 8 - Apr 12 1975,Houston Rockets (4),2,New York Knicks (5),1,,
1975,NBA,Western Conf First Round,Apr 8 - Apr 12 1975,Seattle SuperSonics (4),2,Detroit Pistons (5),1,,
1975,NBA,Eastern Conf Semifinals,Apr 14 - Apr 24 1975,Boston Celtics (1),4,Houston Rockets (4),1,,
1975,NBA,Eastern Conf Semifinals,Apr 10 - Apr 25 1975,Washington Bullets (2),4,Buffalo Braves (3),3,,
1975,NBA,Western Conf Semifinals,Apr 9 - Apr 23 1975,Chicago Bulls (2),4,Kansas City-Omaha Kings (3),2,,
1975,NBA,Western Conf Semifinals,Apr 14 - Apr 24 1975,Golden State Warriors (1),4,Seattle SuperSonics (4),2,,
1975,NBA,Eastern Conf Finals,Apr 27 - May 11 1975,Washington Bullets (2),4,Boston Celtics (1),2,,
1975,NBA,Western Conf Finals,Apr 27 - May 14 1975,Golden State Warriors (1),4,Chicago Bulls (2),3,,
1975,NBA,Finals,May 18 - May 25 1975,Golden State Warriors (1),4,Washington Bullets (2),0,,
1975,ABA,Eastern Div Tiebreak,Apr 4 - Apr 4 1975,Kentucky Colonels,1,New York Nets,0,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 13 1975,Kentucky Colonels (1),4,Memphis Sounds (4),1,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 15 1975,Spirits of St. Louis (3),4,New York Nets (2),1,,
1975,ABA,Western Div Semifinals,Apr 6 - Apr 14 1975,Denver Nuggets (1),4,Utah Stars (4),2,,
1975,ABA,Western Div Semifinals,Apr 5 - Apr 16 1975,Indiana Pacers (3),4,San Antonio Spurs (2),2,,
1975,ABA,Eastern Div Finals,Apr 21 - Apr 28 1975,Kentucky Colonels (1),4,Spirits of St. Louis (3),1,,
1975,ABA,Western Div Finals,Apr 20 - May 3 1975,Indiana Pacers (3),4,Denver Nuggets (1),3,,
1975,ABA,Finals,May 13 - May 22 1975,Kentucky Colonels (1),4,Indiana Pacers (3),1,,
1974,NBA,Eastern Conf Semifinals,Mar 30 - Apr 12 1974,Boston Celtics (1),4,Buffalo Braves (4),2,,
1974,NBA,Eastern Conf Semifinals,Mar 29 - Apr 12 1974,New York Knicks (2),4,Capital Bullets (3),3,,
1974,NBA,Western Conf Semifinals,Mar 30 - Apr 13 1974,Chicago Bulls (2),4,Detroit Pistons (3),3,,
1974,NBA,Western Conf Semifinals,Mar 29 - Apr 7 1974,Milwaukee Bucks (1),4,Los Angeles Lakers (4),1,,
1974,NBA,Eastern Conf Finals,Apr 14 - Apr 24 1974,Boston Celtics (1),4,New York Knicks (2),1,,
1974,NBA,Western Conf Finals,Apr 16 - Apr 22 1974,Milwaukee Bucks (1),4,Chicago Bulls (2),0,,
1974,NBA,Finals,Apr 28 - May 12 1974,Boston Celtics (1),4,Milwaukee Bucks (1),3,,
1974,ABA,Western Div Tiebreak,Mar 29 - Mar 29 1974,San Diego Conquistadors,1,Denver Rockets,0,,
1974,ABA,Eastern Div Semifinals,Apr 1 - Apr 8 1974,Kentucky Colonels (2),4,Carolina Cougars (3),0,,
1974,ABA,Eastern Div Semifinals,Mar 29 - Apr 8 1974,New York Nets (1),4,Virginia Squires (4),1,,
1974,ABA,Western Div Semifinals,Mar 30 - Apr 12 1974,Indiana Pacers (2),4,San Antonio Spurs (3),3,,
1974,ABA,Western Div Semifinals,Mar 30 - Apr 8 1974,Utah Stars (1),4,San Diego Conquistadors (4),2,,
1974,ABA,Eastern Div Finals,Apr 13 - Apr 20 1974,New York Nets (1),4,Kentucky Colonels (2),0,,
1974,ABA,Western Div Finals,Apr 13 - Apr 27 1974,Utah Stars (1),4,Indiana Pacers (2),3,,
1974,ABA,Finals,Apr 30 - May 10 1974,New York Nets (1),4,Utah Stars (1),1,,
1973,NBA,Eastern Conf Semifinals,Apr 1 - Apr 13 1973,Boston Celtics (1),4,Atlanta Hawks (4),2,,
1973,NBA,Eastern Conf Semifinals,Mar 30 - Apr 8 1973,New York Knicks (2),4,Baltimore Bullets (3),1,,
1973,NBA,Western Conf Semifinals,Mar 30 - Apr 13 1973,Golden State Warriors (4),4,Milwaukee Bucks (1),2,,
1973,NBA,Western Conf Semifinals,Mar 30 - Apr 15 1973,Los Angeles Lakers (2),4,Chicago Bulls (3),3,,
1973,NBA,Eastern Conf Finals,Apr 15 - Apr 29 1973,New York Knicks (2),4,Boston Celtics (1),3,,
1973,NBA,Western Conf Finals,Apr 17 - Apr 25 1973,Los Angeles Lakers (2),4,Golden State Warriors (4),1,,
1973,NBA,Finals,May 1 - May 10 1973,New York Knicks (2),4,Los Angeles Lakers (2),1,,
1973,ABA,Eastern Div Semifinals,Mar 30 - Apr 6 1973,Carolina Cougars (1),4,New York Nets (4),1,,
1973,ABA,Eastern Div Semifinals,Mar 30 - Apr 7 1973,Kentucky Colonels (2),4,Virginia Squires (3),1,,
1973,ABA,Western Div Semifinals,Mar 31 - Apr 7 1973,Indiana Pacers (2),4,Denver Rockets (3),1,,
